id,name,description,category,image_width,aspect_ratio,absolute_safe_ids,relative_safe_ids,camera_model
1,16mm Camera Aperture,16mm Camera Aperture,16mm,10.262,1.37,,,16mm-camera
2,16mm Super 16 Camera Aperture,16mm Super 16 Camera Aperture,16mm,12.344,1.65,3,,16mm-camera
3,16mm Super 16 HDTV 16:9,16mm Super 16 HDTV 16:9,16mm,11.760,1.78,,,16mm-camera
4,35mm 4-Perf 1.33 Camera Aperture,35mm 4-Perf 1.33 Camera Aperture,35mm,24.892,1.33,5|6|7|8|9|10|11,,35mm-camera
5,35mm full 1.37 Projection Aperture,35mm full 1.37 Projection Aperture,35mm,20.955,1.37,,,35mm-camera
6,35mm 1.66 Projection Aperture,35mm 1.66 Projection Aperture,35mm,20.955,1.66,,72|73,35mm-camera
7,35mm 1.85 Projection Aperture,35mm 1.85 Projection Aperture,35mm,20.955,1.85,,,35mm-camera
8,35mm TV Station Aperture,35mm TV Station Aperture,35mm,20.726,1.33,,,35mm-camera
9,35mm TV Transmission,35mm TV Transmission,35mm,20.117,1.33,,,35mm-camera
10,35mm TV Safe Action,35mm TV Safe Action,35mm,18.110,1.33,,,35mm-camera
11,35mm TV Safe Titles,35mm TV Safe Titles,35mm,16.002,1.33,,,35mm-camera
12,35mm 2.40 Anamorphic Projection,35mm 2.40 Anamorphic Projection,35mm,41.910,2.39,,,35mm-camera
13,35mm Super 35 3-Perf 1.78 Extracted area (HDTV 16:9),35mm Super 35 3-Perf 1.78 Extracted area (HDTV 16:9),35mm,24.003,1.78,,,35mm-camera
14,35mm Super 35 3-Perf 1.85 Extracted area,35mm Super 35 3-Perf 1.85 Extracted area,35mm,24.003,1.85,,,35mm-camera
15,35mm Super 35 3-Perf 2.40 Extracted area,35mm Super 35 3-Perf 2.40 Extracted area,35mm,24.003,2.40,,,35mm-camera
16,35mm Super 35 3-Perf Camera Aperture,35mm Super 35 3-Perf Camera Aperture,35mm,24.892,1.79,13|14|15,,35mm-camera
17,65mm Camera Aperture,65mm Camera Aperture,65mm,52.629,2.29,18,,60mm-camera
18,65mm Projection Aperture,65mm Projection Aperture,65mm,48.565,2.34,,,60mm-camera
19,Genesis® 1.85 Extracted area,Genesis® 1.85 Extracted area,Digital/Genesis®,22.454,1.85
20,Genesis® 2.40 Extracted area,Genesis® 2.40 Extracted area,Digital/Genesis®,22.352,2.38
21,Genesis® Full CCD Area,Genesis® Full CCD Area,Digital/Genesis®,23.620,1.78,19|20,72
22,RED Mysterium® Full CCD Area,RED Mysterium® Full CCD Area,Digital/RED®,24.400,1.78,23|24|25|26|27|28|29|30|31|32|33|34
23,RED ONE® 4096 x 2304 - 4K 16:9,RED ONE® 4096 x 2304 - 4K 16:9,Digital/RED®,22.118,1.78
24,RED ONE® 4096 x 2048 - 4K 2:1,RED ONE® 4096 x 2048 - 4K 2:1,Digital/RED®,22.118,2.00
25,RED ONE® 4096 x 1706 - 4K 2.4:1,RED ONE® 4096 x 1706 - 4K 2.4:1,Digital/RED®,22.118,2.40
26,RED ONE® 3600 X 2025 - 3.5K 16:9,RED ONE® 3600 X 2025 - 3.5K 16:9,Digital/RED®,19.440,1.78
27,RED ONE® 3600 x 1800 - 3.5K 2:1,RED ONE® 3600 x 1800 - 3.5K 2:1,Digital/RED®,19.440,2.00
28,RED ONE® 3600 x 1500 - 3.5K 2.4:1,RED ONE® 3600 x 1500 - 3.5K 2.4:1,Digital/RED®,19.440,2.40
29,RED ONE® 3072 x 1728 - 3K 16:9,RED ONE® 3072 x 1728 - 3K 16:9,Digital/RED®,16.589,1.78
30,RED ONE® 3072 x 1536 - 3K 2:1,RED ONE® 3072 x 1536 - 3K 2:1,Digital/RED®,16.589,2.00
31,RED ONE® 3072 x 1280 - 3K 2.4:1,RED ONE® 3072 x 1280 - 3K 2.4:1,Digital/RED®,16.589,2.40
32,RED ONE® 2048 x 1152 - 2K 16:9,RED ONE® 2048 x 1152 - 2K 16:9,Digital/RED®,11.059,1.78
33,RED ONE® 2048 x 1024 - 2K 2:1,RED ONE® 2048 x 1024 - 2K 2:1,Digital/RED®,11.059,2.00
34,RED ONE® 2048 x 853 - 2K 2.4:1,RED ONE® 2048 x 853 - 2K 2.4:1,Digital/RED®,11.059,2.40
35,STV Trans (Large),STV Trans (Large),Digital,21.133,1.33
36,STV Trans (SMPTE),STV Trans (SMPTE),Digital,20.117,1.33
37,VistaVision™ Camera Aperture,VistaVision™ Camera Aperture,35mm,37.719,1.50
38,35mm SLR / Full Frame DSLR,35mm SLR / Full Frame DSLR,Photography,36.000,1.50,,,35mm-still
